Display name,SID,Domain,Type,Object ID,Cloud ID,Cloud Provider,Source,UPN,Tags,Created time,Criticality level,Account status,Last updated
"Administrator","s-1-5-21-849964532-3029608192-1428383483-500","darya2.test.local","User",,,,"On-premises",,,"2024-10-10T11:33:53.000Z","High","Enabled","2024-11-06T08:40:09.000Z"
"Administrator","s-1-5-21-254912565-765761066-4116125187-500","gabig.defensor.local","User",,,,"On-premises",,,"2024-10-13T20:46:10.000Z","High","Enabled","2024-11-03T07:23:23.000Z"
"Administrator","s-1-5-21-2733286291-3901550035-2797273489-500","yuval22.test.local","User",,,,"On-premises",,"Sensitive","2024-11-27T08:37:36.000Z",,"Enabled","2024-11-27T08:53:56.000Z"
"Administrator","s-1-5-21-3729999119-4137156278-675770368-500","mica1.test.local","User",,,,"On-premises",,,"2024-11-12T11:56:54.000Z",,"Enabled","2024-11-19T10:45:21.000Z"
"Administrator","s-1-5-21-1178749232-2793832359-1563609156-500","darya1.test.local","User",,,,"On-premises",,,"2024-09-30T08:29:17.000Z","High","Enabled","2024-09-30T08:59:13.000Z"
"Administrator","s-1-5-21-1575209139-2350359548-1293410067-500","barbox1.test.local","User",,,,"On-premises",,,"2024-10-09T13:00:59.000Z","High","Enabled","2024-10-29T12:18:22.000Z"
"Administrator","s-1-5-21-429525224-1452567461-933333153-500","efig.devlab2.test","User",,,,"On-premises",,"Sensitive","2024-11-14T12:29:47.000Z",,"Enabled","2025-03-17T11:51:46.000Z"
"Administrator",,"MCASAATP.ccsctp.net","User","3b67e7c2-ea55-45e7-b7ce-132428973e9f",,,"Cloud",Administrator@MCASAATP.ccsctp.net,,"2018-08-07T11:52:54.000Z","Very high","Enabled",
"Administrator","s-1-5-21-4077643283-3775493792-949516076-500","efig.devlab1.test","User",,,,"On-premises",,,"2024-11-10T10:35:27.000Z","High","Enabled","2024-11-10T10:51:28.000Z"
"Administrator","s-1-5-21-3589730768-2861620972-879363931-500","mydomain14.com","User",,,,"On-premises",,,"2024-09-22T07:13:36.000Z","High","Enabled","2024-09-22T07:29:36.000Z"
"Administrator","s-1-5-21-527153972-3814832750-822285544-500","domain8.test.local","User",,,,"On-premises",,,"2024-09-02T08:15:51.000Z",,"Enabled","2024-09-02T09:37:15.000Z"
"Administrator","s-1-5-21-2687365137-2087825785-2724683265-500","domain2.test.local","User","572ec242-5a5b-40a5-a1c3-49744eff5eb6",,,"Hybrid",Administrator5498@MCASAATP.ccsctp.net,"Sensitive","2016-04-27T07:07:08.000Z","High","Enabled","2023-11-16T06:44:40.000Z"
"Administrator","s-1-5-21-2849047210-350468117-1197813238-500","vs.test.local","User",,,,"On-premises",,,"2024-11-28T12:09:54.000Z",,"Enabled","2024-12-01T10:43:23.000Z"
"Administrator","s-1-5-21-3422664657-4171118850-50095873-500","efig3.devlab.test","User",,,,"On-premises",,"Sensitive","2024-11-26T13:26:57.000Z",,"Enabled","2024-12-12T08:47:24.000Z"
"Administrator","s-1-5-21-306263214-2362191459-3415812841-500","domain1.test.local","User",,,,"On-premises",,"Sensitive","2024-08-18T11:16:02.000Z","High","Enabled","2024-09-01T08:19:30.000Z"
"Administrator","s-1-5-21-3452340184-3385130237-3458307242-500","domainRPCP.defensor.local","User",,,,"On-premises",,"Sensitive","2024-09-16T12:10:56.000Z",,"Enabled","2024-12-06T13:09:35.000Z"
"Administrator","s-1-5-21-2803078954-656116424-3952224730-500","altshuler.xyz","User",,,,"On-premises",,"Sensitive","2024-10-23T20:08:03.000Z","High","Enabled","2025-01-12T15:18:22.000Z"
"Administrator","s-1-5-21-3842900082-3130434967-3655278810-500","d_tc2410.defensor.local","User",,,,"On-premises",,,"2024-12-02T09:06:05.000Z",,"Enabled","2024-12-02T09:23:38.000Z"
"Administrator","s-1-5-21-2314151917-791359974-4203668140-500","yuval1220.test.local","User",,,,"On-premises",,,"2024-12-23T10:01:18.000Z",,"Enabled","2024-12-23T10:17:27.000Z"
"Administrator","s-1-5-21-306263214-2362191459-3415812841-500",,"User",,,,"On-premises",,"Sensitive","2022-05-24T06:22:14.000Z","High","Enabled","2022-08-28T10:40:17.000Z"
"Administrator","s-1-5-21-1330429116-3117925940-2382144759-500","tomerstg.test.locl","User",,,,"On-premises",,,"2024-10-13T18:36:09.000Z",,"Enabled","2024-11-06T17:22:13.000Z"
"Administrator","s-1-5-21-2628120465-3932894164-1567256719-500","domainmainG.defensor.local","User",,,,"On-premises",,"Sensitive","2024-12-08T11:46:20.000Z",,"Enabled","2025-03-21T15:06:44.000Z"
"Administrator","s-1-5-21-759538123-1042936442-674163799-500","d_tc2502d.defensor.local","User",,,,"On-premises",,"Sensitive","2024-11-24T08:00:06.000Z",,"Enabled","2025-02-16T08:30:40.000Z"
"administrator eden",,"MCASAATP.ccsctp.net","User","49c02837-f15e-4473-8257-77219d9deb74",,,"Cloud",administrator-eden@MCASAATP.ccsctp.net,,"2021-11-03T12:17:28.000Z","Very high","Enabled",
"administrator$","s-1-5-21-306263214-2362191459-3415812841-3211","domain3.test.local","Service",,,,"On-premises",,,"2022-10-27T14:51:42.000Z",,"Enabled","2022-11-07T07:48:23.000Z"
"Administrator$","s-1-5-21-989687458-3461180213-172365591-278105","domain1.test.local","Service",,,,"On-premises",,"Sensitive","2021-07-08T12:24:58.000Z",,"Enabled","2022-10-31T10:00:30.000Z"
"Administrator2",,"mcasaatp.ccsctp.net","User","a381ff66-2f68-482a-a51c-1004ae0f8dc2",,,"Cloud",Administrator2@mcasaatp.ccsctp.net,,"2021-11-03T14:09:15.000Z","Very high","Enabled",
"AdminUser","s-1-5-21-3729999119-4137156278-675770368-1000","mica1.test.local","User",,,,"On-premises",,,"2024-11-12T11:56:54.000Z",,"Enabled","2024-11-12T12:13:02.000Z"
"AdminUser","s-1-5-21-501194811-1367320429-4049968945-1000","barbox1.test.local","User",,,,"On-premises",,,"2024-11-12T10:48:11.000Z",,"Enabled","2025-03-16T09:47:36.000Z"
"AdminUser","s-1-5-21-254912565-765761066-4116125187-1000","gabig.defensor.local","User",,,,"On-premises",,,"2024-10-13T20:46:10.000Z","High","Enabled","2024-11-25T07:41:06.000Z"
"AdminUser","s-1-5-21-3422664657-4171118850-50095873-1000","efig3.devlab.test","User",,,,"On-premises",,"Sensitive","2024-11-26T13:26:57.000Z",,"Enabled","2024-12-22T09:40:50.000Z"
"AdminUser","s-1-5-21-527153972-3814832750-822285544-1000","domain8.test.local","User",,,,"On-premises",,,"2024-09-02T08:15:51.000Z",,"Enabled","2024-11-24T14:30:16.000Z"
"AdminUser","s-1-5-21-2656172010-3634006565-554535441-1000","yuval30.test.local","User",,,,"On-premises",,"Sensitive","2024-12-02T07:27:00.000Z",,"Enabled","2024-12-02T07:43:16.000Z"
"AdminUser","s-1-5-21-2849047210-350468117-1197813238-1000","vs.test.local","User",,,,"On-premises",,,"2024-11-28T12:09:54.000Z",,"Enabled","2025-02-03T14:19:52.000Z"
"AdminUser","s-1-5-21-989687458-3461180213-172365591-500","domain1.test.local","User","e457042d-b309-4afd-a794-ecc0a7d7fc14",,,"Hybrid",AdminUser@MCASAATP.ccsctp.net,"Sensitive","2016-04-25T13:51:44.000Z","High","Enabled","2023-12-10T11:57:36.000Z"
"AdminUser","s-1-5-21-4077643283-3775493792-949516076-1000","efig.devlab1.test","User",,,,"On-premises",,,"2024-11-10T10:35:27.000Z","High","Enabled","2024-11-10T10:51:28.000Z"
"AdminUser","s-1-5-21-1330429116-3117925940-2382144759-1000","tomerstg.test.locl","User",,,,"On-premises",,,"2024-10-13T18:36:09.000Z",,"Enabled","2024-11-13T10:38:08.000Z"
"AdminUser","s-1-5-21-2733286291-3901550035-2797273489-1000","yuval22.test.local","User",,,,"On-premises",,"Sensitive","2024-11-27T08:37:36.000Z",,"Enabled","2024-11-27T08:53:56.000Z"
"AdminUser","s-1-5-21-1178749232-2793832359-1563609156-1000","darya1.test.local","User",,,,"On-premises",,,"2024-09-30T08:29:17.000Z","High","Enabled","2024-09-30T08:45:23.000Z"
"AdminUser","s-1-5-21-989687458-3461180213-172365591-500","domain1.test.local","User","e457042d-b309-4afd-a794-ecc0a7d7fc14",,,"Hybrid",AdminUser@MCASAATP.ccsctp.net,"Sensitive","2016-04-25T13:51:44.000Z","High","Enabled","2023-12-10T11:57:36.000Z"
"AdminUser","s-1-5-21-2314151917-791359974-4203668140-1000","yuval1220.test.local","User",,,,"On-premises",,,"2024-12-23T10:01:18.000Z",,"Enabled","2024-12-23T10:17:27.000Z"
"AdminUser","s-1-5-21-3589730768-2861620972-879363931-1000","mydomain14.com","User",,,,"On-premises",,,"2024-09-22T07:13:36.000Z","High","Enabled","2024-09-22T07:29:36.000Z"
"AdminUser","s-1-5-21-2717458995-3384669180-1524466888-1000","yuvalp.test1025.local","User",,,,"On-premises",,,"2024-10-27T12:16:28.000Z","High","Enabled","2024-11-24T07:27:02.000Z"
"AdminUser","s-1-5-21-849964532-3029608192-1428383483-1000","darya2.test.local","User",,,,"On-premises",,,"2024-10-10T11:33:53.000Z","High","Enabled","2024-11-11T13:02:58.000Z"
"AdminUser","s-1-5-21-429525224-1452567461-933333153-1000","efig.devlab2.test","User",,,,"On-premises",,"Sensitive","2024-11-14T12:29:47.000Z",,"Enabled","2024-12-02T09:44:36.000Z"
"Adron Small","s-1-5-21-2687365137-2087825785-2724683265-5013","domain2.test.local","User","656190a4-d388-482f-9353-9015d199aee4",,,"Hybrid",ASmall@domain2.test.local,,"2016-04-27T08:02:29.000Z",,"Enabled","2016-04-27T08:14:56.000Z"
"ADSyncMSA729cb$","s-1-5-21-306263214-2362191459-3415812841-3652","domain1.test.local","Service",,,,"On-premises",,,"2024-07-31T09:38:20.000Z",,"Enabled","2025-02-04T16:39:02.000Z"
"Afton Molina","s-1-5-21-2687365137-2087825785-2724683265-4412","domain2.test.local","User","b84e30b1-0f83-4e48-bf2c-b3f63afa7f7b",,,"Hybrid",AMolina@domain2.test.local,,"2016-04-27T08:02:07.000Z",,"Enabled","2016-04-27T08:12:54.000Z"
"Agnes Pennington","s-1-5-21-2687365137-2087825785-2724683265-4629","domain2.test.local","User","53f458c1-4c2a-4fbd-acf7-dd805082d8b3",,,"Hybrid",APennington@domain2.test.local,,"2016-04-27T08:02:16.000Z",,"Enabled","2016-04-27T08:12:02.000Z"
"Agness Lyons","s-1-5-21-2687365137-2087825785-2724683265-4255","domain2.test.local","User","52a98999-c56d-4af3-ba28-867e013cca7f",,,"Hybrid",ALyons@domain2.test.local,,"2016-04-27T08:02:02.000Z",,"Enabled","2016-04-27T08:04:43.000Z"
"Agustin Church","s-1-5-21-2687365137-2087825785-2724683265-4331","domain2.test.local","User","a054b45e-0274-43d8-a0d8-68cab3b11481",,,"Hybrid",AChurch@domain2.test.local,,"2016-04-27T08:02:04.000Z",,"Enabled","2016-04-27T08:11:28.000Z"
"Agustus Castillo","s-1-5-21-2687365137-2087825785-2724683265-5008","domain2.test.local","User","3889f275-3171-495d-8e1d-ec98bd5d52cb",,,"Hybrid",ACastillo@domain2.test.local,,"2016-04-27T08:02:29.000Z",,"Enabled","2016-04-27T08:14:48.000Z"
"Aiko Riddle","s-1-5-21-2687365137-2087825785-2724683265-4438","domain2.test.local","User","078a6861-5ecd-4181-b43d-d93136606a59",,,"Hybrid",ARiddle@domain2.test.local,,"2016-04-27T08:02:09.000Z",,"Enabled","2016-04-27T08:13:37.000Z"
"Alan Lane","s-1-5-21-2687365137-2087825785-2724683265-4442","domain2.test.local","User","9c6ae351-b15f-46f2-8a05-cf53eb543930",,,"Hybrid",ALane@domain2.test.local,,"2016-04-27T08:02:09.000Z",,"Enabled","2016-04-27T08:13:40.000Z"
"Alberta Kirkpatrick","s-1-5-21-2687365137-2087825785-2724683265-5027","domain2.test.local","User","c22607f7-f507-4881-930d-ef10e9b9973e",,,"Hybrid",AKirkpatrick@domain2.test.local,,"2016-04-27T08:02:29.000Z",,"Enabled","2016-04-27T08:15:21.000Z"
"Albie Cornish","s-1-5-21-2687365137-2087825785-2724683265-4244","domain2.test.local","User","2bbebf4c-4e3e-432e-b7cf-7d828c45feef",,,"Hybrid",ACornish@domain2.test.local,,"2016-04-27T08:02:02.000Z",,"Enabled","2016-04-27T08:14:53.000Z"
"Albino Miller","s-1-5-21-2687365137-2087825785-2724683265-4361","domain2.test.local","User","06d71bf1-3ac1-4182-9f9a-228be9879ee6",,,"Hybrid",AMiller@domain2.test.local,,"2016-04-27T08:02:05.000Z",,"Enabled","2016-04-27T08:11:48.000Z"
"Albion Corbin","s-1-5-21-2687365137-2087825785-2724683265-4475","domain2.test.local","User","5cad0b59-f035-420d-8e6c-928b5a08f2cd",,,"Hybrid",ACorbin@domain2.test.local,,"2016-04-27T08:02:10.000Z",,"Enabled","2016-04-27T08:14:25.000Z"
"Alda Pedin","s-1-5-21-2687365137-2087825785-2724683265-4608","domain2.test.local","User","919bd544-c7c8-4abc-b95f-a21155bf785c",,,"Hybrid",APedin@domain2.test.local,,"2016-04-27T08:02:15.000Z",,"Enabled","2016-04-27T08:11:44.000Z"
"Aldo Chichester","s-1-5-21-2687365137-2087825785-2724683265-4347","domain2.test.local","User","b069d1eb-5ad8-4093-9a6d-ab2565a75c4c",,,"Hybrid",AChichester@domain2.test.local,,"2016-04-27T08:02:05.000Z",,"Enabled","2016-04-27T08:11:42.000Z"
"Alex Feldsher",,"MCASAATP.ccsctp.net","User","aed16353-e083-4aec-a3b2-91153189ee87",,,"Cloud",alfeldsh@MCASAATP.ccsctp.net,,"2023-09-10T09:31:24.000Z",,"Enabled",
"Alexandra Acevedo","s-1-5-21-2687365137-2087825785-2724683265-4276","domain2.test.local","User","41791201-8ee6-47bb-98f2-a6e8cf669d38",,,"Hybrid",AAcevedo@domain2.test.local,,"2016-04-27T08:02:03.000Z",,"Enabled","2016-04-27T08:10:12.000Z"
"Alfie Warwick","s-1-5-21-2687365137-2087825785-2724683265-4518","domain2.test.local","User","739402ad-8e5e-490b-85dc-0ed47883fd70",,,"Hybrid",AWarwick@domain2.test.local,,"2016-04-27T08:02:11.000Z",,"Enabled","2016-04-27T08:15:22.000Z"
"Alfonza Mar","s-1-5-21-2687365137-2087825785-2724683265-4860","domain2.test.local","User","58fea546-d42c-4e97-8ae6-c288277a4f05",,,"Hybrid",AMar@domain2.test.local,,"2016-04-27T08:02:24.000Z",,"Enabled","2016-04-27T08:11:43.000Z"
"Algert Farrell","s-1-5-21-2687365137-2087825785-2724683265-4161","domain2.test.local","User","aa5eee43-e5c9-4726-b370-e038ad48b605",,,"Hybrid",AFarrell@domain2.test.local,,"2016-04-27T08:01:59.000Z",,"Enabled","2016-04-27T08:12:58.000Z"
"Aline Bonar","s-1-5-21-2687365137-2087825785-2724683265-4962","domain2.test.local","User","f7801e49-236b-49f7-aa91-73309051c87a",,,"Hybrid",ABonar@domain2.test.local,,"2016-04-27T08:02:27.000Z",,"Enabled","2016-04-27T08:13:52.000Z"
"Alleene Fotherby","s-1-5-21-2687365137-2087825785-2724683265-4932","domain2.test.local","User","44b02154-84c7-4745-865b-622612b0c459",,,"Hybrid",AFotherby@domain2.test.local,,"2016-04-27T08:02:26.000Z",,"Enabled","2016-04-27T08:13:02.000Z"
"Alley Wolf","s-1-5-21-2687365137-2087825785-2724683265-4427","domain2.test.local","User","dc9dbce5-7893-4b6e-a6fc-bbe38bbdb8f6",,,"Hybrid",AWolf@domain2.test.local,,"2016-04-27T08:02:08.000Z",,"Enabled","2016-04-27T08:13:18.000Z"
"Alline Patrick","s-1-5-21-2687365137-2087825785-2724683265-4669","domain2.test.local","User","986e1fc8-8522-493b-8cc7-3e09c836f1a9",,,"Hybrid",APatrick@domain2.test.local,,"2016-04-27T08:02:17.000Z",,"Enabled","2016-04-27T08:12:56.000Z"
"Almena Ortega","s-1-5-21-2687365137-2087825785-2724683265-4481","domain2.test.local","User","5bc1bbdd-09ed-46a6-92a8-504ae5cfac40",,,"Hybrid",AOrtega@domain2.test.local,,"2016-04-27T08:02:10.000Z",,"Enabled","2016-04-27T08:14:28.000Z"
"Almer Ham","s-1-5-21-2687365137-2087825785-2724683265-4691","domain2.test.local","User","59160565-1a54-4722-b77a-be066e5005ea",,,"Hybrid",AHam@domain2.test.local,,"2016-04-27T08:02:18.000Z",,"Enabled","2016-04-27T08:13:28.000Z"
"Almeta Whitfield","s-1-5-21-2687365137-2087825785-2724683265-4539","domain2.test.local","User","9c38089d-a862-491f-8780-26488689d84f",,,"Hybrid",AWhitfield@domain2.test.local,"Sensitive","2016-04-27T08:02:12.000Z",,"Enabled","2016-04-27T08:10:24.000Z"
"almog",,"MCASAATP.ccsctp.net","User","cb8a9f85-9404-4781-aea1-05ea2129f8f4",,,"Cloud",almog_adig.ccsctp.net#EXT#@MCASAATP.ccsctp.net,,"2021-10-17T09:31:08.000Z","Very high","Enabled",
"almog",,"mcasaatp.ccsctp.net","User","3f99fc13-02b8-41e4-8913-fdca5f9d0ac5",,,"Cloud",almog@mcasaatp.ccsctp.net,,"2020-10-20T16:38:27.000Z","Very high","Enabled",
"Alois Winthrop","s-1-5-21-2687365137-2087825785-2724683265-4894","domain2.test.local","User","d28c6610-def4-4cba-9e2d-29f7c705688b",,,"Hybrid",AWinthrop@domain2.test.local,,"2016-04-27T08:02:25.000Z",,"Enabled","2016-04-27T08:12:14.000Z"
"Alon Berkman",,"MCASAATP.ccsctp.net","User","f5925c7a-78f6-43ad-b3c3-9acabbb0f56b",,,"Cloud",alonberkman@MCASAATP.ccsctp.net,,"2022-04-05T13:09:16.000Z",,"Enabled",
"alon zohar",,"mcasaatp.ccsctp.net","User","455ca021-822c-407c-9030-4f0957f0ef3e",,,"Cloud",alzonzohar@mcasaatp.ccsctp.net,,"2022-08-22T12:15:53.000Z","Very high","Enabled",
"Alonza Noel","s-1-5-21-2687365137-2087825785-2724683265-4452","domain2.test.local","User","89311b76-1d23-4dd0-9fba-f9346d44cbde",,,"Hybrid",ANoel@domain2.test.local,,"2016-04-27T08:02:09.000Z",,"Enabled","2016-04-27T08:13:53.000Z"
"Alston Mckay","s-1-5-21-2687365137-2087825785-2724683265-4411","domain2.test.local","User","cae96eb7-1051-4569-94bf-efb15cce325f",,,"Hybrid",AMckay@domain2.test.local,,"2016-04-27T08:02:07.000Z",,"Enabled","2016-04-27T08:12:53.000Z"
"Altha Swanson","s-1-5-21-2687365137-2087825785-2724683265-4391","domain2.test.local","User","df594689-dc7f-4e68-807b-7e3116d4ff4d",,,"Hybrid",ASwanson@domain2.test.local,,"2016-04-27T08:02:07.000Z",,"Enabled","2016-04-27T08:04:31.000Z"
"Altie Mayer","s-1-5-21-2687365137-2087825785-2724683265-4593","domain2.test.local","User","b6300d16-3b8f-4e7c-b400-bde5602ad5ff",,,"Hybrid",AMayer@domain2.test.local,,"2016-04-27T08:02:14.000Z",,"Enabled","2016-04-27T08:11:33.000Z"
"Altshuler ADFS","s-1-5-21-2803078954-656116424-3952224730-1607","altshuler.xyz","Service",,,,"On-premises",adfs_user@altshuler.xyz,"Sensitive","2024-12-17T15:32:53.000Z",,"Enabled","2024-12-28T18:00:39.000Z"
"Alvie Fernandez","s-1-5-21-2687365137-2087825785-2724683265-4470","domain2.test.local","User","282c092c-cdc2-40de-9be3-3c7972512737",,,"Hybrid",AFernandez@domain2.test.local,,"2016-04-27T08:02:10.000Z",,"Enabled","2016-04-27T08:14:19.000Z"
