Display name,SID,Domain,Type,Object ID,Cloud ID,Cloud Provider,Source,UPN,Tags,Created time,Criticality Level,Account Status,Last updated
Administrator,s-1-5-21-2733286291-3901550035-2797273489-500,yuval22.test.local,User,,,,On-premises,,Sensitive,2024-11-27T08:37:36.000Z,,Enabled,2024-11-27T08:53:56.000Z
Administrator,s-1-5-21-3729999119-4137156278-675770368-500,mica1.test.local,User,,,,On-premises,,,2024-11-12T11:56:54.000Z,,Enabled,2024-11-19T10:45:21.000Z
Administrator,s-1-5-21-1178749232-2793832359-1563609156-500,darya1.test.local,User,,,,On-premises,,,2024-09-30T08:29:17.000Z,High,Enabled,2024-09-30T08:59:13.000Z
Administrator,s-1-5-21-1575209139-2350359548-1293410067-500,barbox1.test.local,User,,,,On-premises,,,2024-10-09T13:00:59.000Z,High,Enabled,2024-10-29T12:18:22.000Z
Administrator,s-1-5-21-429525224-1452567461-933333153-500,efig.devlab2.test,User,,,,On-premises,,Sensitive,2024-11-14T12:29:47.000Z,,Enabled,2025-03-17T11:51:46.000Z
Administrator,,MCASAATP.ccsctp.net,User,3b67e7c2-ea55-45e7-b7ce-132428973e9f,,,Cloud,Administrator@MCASAATP.ccsctp.net,,2018-08-07T11:52:54.000Z,Very high,Enabled,
Administrator,s-1-5-21-4077643283-3775493792-949516076-500,efig.devlab1.test,User,,,,On-premises,,,2024-11-10T10:35:27.000Z,High,Enabled,2024-11-10T10:51:28.000Z
Administrator,s-1-5-21-3589730768-2861620972-879363931-500,mydomain14.com,User,,,,On-premises,,,2024-09-22T07:13:36.000Z,High,Enabled,2024-09-22T07:29:36.000Z
Administrator,s-1-5-21-527153972-3814832750-822285544-500,domain8.test.local,User,,,,On-premises,,,2024-09-02T08:15:51.000Z,,Enabled,2024-09-02T09:37:15.000Z
Administrator,s-1-5-21-2687365137-2087825785-2724683265-500,domain2.test.local,User,572ec242-5a5b-40a5-a1c3-49744eff5eb6,,,Hybrid,Administrator5498@MCASAATP.ccsctp.net,Sensitive,2016-04-27T07:07:08.000Z,High,Enabled,2023-11-16T06:44:40.000Z
Administrator,s-1-5-21-2849047210-350468117-1197813238-500,vs.test.local,User,,,,On-premises,,,2024-11-28T12:09:54.000Z,,Enabled,2024-12-01T10:43:23.000Z
Administrator,s-1-5-21-3422664657-4171118850-50095873-500,efig3.devlab.test,User,,,,On-premises,,Sensitive,2024-11-26T13:26:57.000Z,,Enabled,2024-12-12T08:47:24.000Z
Administrator,s-1-5-21-306263214-2362191459-3415812841-500,domain1.test.local,User,,,,On-premises,,Sensitive,2024-08-18T11:16:02.000Z,High,Enabled,2024-09-01T08:19:30.000Z
Administrator,s-1-5-21-3452340184-3385130237-3458307242-500,domainRPCP.defensor.local,User,,,,On-premises,,Sensitive,2024-09-16T12:10:56.000Z,,Enabled,2024-12-06T13:09:35.000Z
Administrator,s-1-5-21-2803078954-656116424-3952224730-500,altshuler.xyz,User,,,,On-premises,,Sensitive,2024-10-23T20:08:03.000Z,High,Enabled,2025-01-12T15:18:22.000Z
Administrator,s-1-5-21-3842900082-3130434967-3655278810-500,d_tc2410.defensor.local,User,,,,On-premises,,,2024-12-02T09:06:05.000Z,,Enabled,2024-12-02T09:23:38.000Z
Administrator,s-1-5-21-2314151917-791359974-4203668140-500,yuval1220.test.local,User,,,,On-premises,,,2024-12-23T10:01:18.000Z,,Enabled,2024-12-23T10:17:27.000Z
Administrator,s-1-5-21-306263214-2362191459-3415812841-500,,User,,,,On-premises,,Sensitive,2022-05-24T06:22:14.000Z,High,Enabled,2022-08-28T10:40:17.000Z
Administrator,s-1-5-21-1330429116-3117925940-2382144759-500,tomerstg.test.locl,User,,,,On-premises,,,2024-10-13T18:36:09.000Z,,Enabled,2024-11-06T17:22:13.000Z
Administrator,s-1-5-21-2628120465-3932894164-1567256719-500,domainmainG.defensor.local,User,,,,On-premises,,Sensitive,2024-12-08T11:46:20.000Z,,Enabled,2025-03-21T15:06:44.000Z
Administrator,s-1-5-21-759538123-1042936442-674163799-500,d_tc2502d.defensor.local,User,,,,On-premises,,Sensitive,2024-11-24T08:00:06.000Z,,Enabled,2025-02-16T08:30:40.000Z
administrator eden,,MCASAATP.ccsctp.net,User,49c02837-f15e-4473-8257-77219d9deb74,,,Cloud,administrator-eden@MCASAATP.ccsctp.net,,2021-11-03T12:17:28.000Z,Very high,Enabled,
administrator$,s-1-5-21-306263214-2362191459-3415812841-3211,domain3.test.local,Service,,,,On-premises,,,2022-10-27T14:51:42.000Z,,Enabled,2022-11-07T07:48:23.000Z
Administrator$,s-1-5-21-989687458-3461180213-172365591-278105,domain1.test.local,Service,,,,On-premises,,Sensitive,2021-07-08T12:24:58.000Z,,Enabled,2022-10-31T10:00:30.000Z
Administrator2,,mcasaatp.ccsctp.net,User,a381ff66-2f68-482a-a51c-1004ae0f8dc2,,,Cloud,Administrator2@mcasaatp.ccsctp.net,,2021-11-03T14:09:15.000Z,Very high,Enabled,
AdminUser,s-1-5-21-3729999119-4137156278-675770368-1000,mica1.test.local,User,,,,On-premises,,,2024-11-12T11:56:54.000Z,,Enabled,2024-11-12T12:13:02.000Z
